pc_elapsed_s,pc_unix_s,frame_index,roll_deg,pitch_deg,yaw_deg,altitude_m,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,fc_time_s,imu_irq_hz,imu_poll_hz,imu_age_ms,roll_acc_deg,pitch_acc_deg,roll_gyro_deg,pitch_gyro_deg,roll_residual_deg,pitch_residual_deg,attitude_cf_alpha,attitude_dt_ms,coax_roll_rate_kd,coax_pitch_rate_kd,coax_yaw_angle_kp,coax_yaw_rate_kd,coax_vel_x_kd,coax_vel_y_kd,coax_vel_z_kd,coax_accel_xy_limit_m_s2,coax_accel_z_limit_m_s2,nav_acc_x_m_s2,nav_acc_y_m_s2,nav_acc_z_m_s2,vel_est_x_m_s,vel_est_y_m_s,vel_ref_x_m_s,vel_ref_y_m_s,vel_err_x_m_s,vel_err_y_m_s,vel_pid_out_x_m_s2,vel_pid_out_y_m_s2,vel_pid_p_x_m_s2,vel_pid_i_x_m_s2,vel_pid_d_x_m_s2,vel_pid_p_y_m_s2,vel_pid_i_y_m_s2,vel_pid_d_y_m_s2,servo_alpha_us,servo_beta_us,motor_upper_us,motor_lower_us,vel_loop_x_kp,vel_loop_y_kp,vel_loop_output_limit_m_s2,vel_loop_x_ki,vel_loop_y_ki,vel_loop_i_limit_m_s2,vel_loop_x_kd,vel_loop_y_kd,vel_loop_enable,flow_raw_vx_m_s,flow_raw_vy_m_s
0.144244,1783678204.183336,1,-2.74561334,-2.87272429,-2.82597923,0,0.049716495,0.00587371038,0.994909108,0.0393630117,0.0233135838,0.0127699319,429.117035,991.821472,0,0.075000003,0.338256955,2.86069179,0.331659883,2.84427524,0.00659707189,0.0164165497,0.995781898,1.05900002,-1.60000002,-1.60000002,-3,-0.200000003,0,0,3.0999999,3,2.5,0,0,0,1.697056e-05,-1.697056e-05,0,0,-0.0430538096,-0.136512905,-0.258322865,-0.818422794,-0.258322865,0,-0,-0.819077432,0.00065461616,0,1457,1803,1465,1386,6,-6,21.6700001,0,0.0199999996,0.540000021,0,0,1,0.000212132014,-0.000212132014
0.206327,1783678204.245419,2,-2.74601269,-2.87756324,-2.82647324,0,0.0485877544,0.00523509411,0.994508803,0.0184073374,-0.0678584352,-0.0150679359,429.167023,991.845276,0,0.651000023,0.301602185,2.79698181,0.331408024,2.8396771,-0.0298058391,-0.0426952839,0.995980263,1.00899994,-1.60000002,-1.60000002,-3,-0.200000003,0,0,3.0999999,3,2.5,0,0,0,3.39411199e-05,0,0,0,-0.0430538096,-0.136512905,-0.258322865,-0.818422794,-0.258322865,0,-0,-0.819077432,0.00065461616,0,1457,1803,1465,1386,6,-6,21.6700001,0,0.0199999996,0.540000021,0,0,1,0.000424264028,-0
0.237930,1783678204.277022,3,-2.74372816,-2.88698721,-2.82651329,0,0.0494444147,0.00587830553,0.994506001,0.0252660625,0.0855137855,-0.0159707367,429.21701,991.845276,0,0.24000001,0.33865878,2.84621358,0.333552718,2.83001781,0.0051060617,0.0161957741,0.996059656,0.988999963,-1.60000002,-1.60000002,-3,-0.200000003,0,0,3.0999999,3,2.5,0,0,0,3.39411199e-05,3.39411199e-05,0,0,-0.0430538096,-0.136512905,-0.258322865,-0.818422794,-0.258322865,0,-0,-0.819077432,0.00065461616,0,1457,1803,1465,1386,6,-6,21.6700001,0,0.0199999996,0.540000021,0,0,1,0.000424264028,0.000424264028
0.300924,1783678204.340016,4,-2.74247885,-2.8853128,-2.8266716,0,0.0483489893,0.00541674439,0.994502604,0.0259801559,-0.0548356697,0.0385524035,429.267029,991.845276,0,0.834000051,0.312069088,2.78327346,0.334914207,2.83195162,-0.0228451192,-0.0486781597,0.995976269,1.00999999,-1.60000002,-1.60000002,-3,-0.200000003,0,0,3.0999999,3,2.5,0,0,0,0,0,0,0,-0.0430538096,-0.136512905,-0.258322865,-0.818422794,-0.258322865,0,-0,-0.819077432,0.00065461616,0,1457,1803,1465,1386,6,-6,21.6700001,0,0.0199999996,0.540000021,0,0,1,-0,-0
0.362152,1783678204.401244,5,-2.74582338,-2.89659333,-2.82722664,0,0.0490342937,0.00588123221,0.99392873,0.0278234687,0.00705179852,-0.00248364545,429.317017,991.845276,0,0.425000012,0.339024186,2.82428026,0.331447244,2.82046008,0.00757694244,0.00382018089,0.995980263,1.00899994,-1.60000002,-1.60000002,-3,-0.200000003,0,0,3.0999999,3,2.5,0,0,0,1.697056e-05,1.697056e-05,0,0,-0.0430538096,-0.136512905,-0.258322865,-0.818422794,-0.258322865,0,-0,-0.819077432,0.00065461616,0,1457,1803,1465,1386,6,-6,21.6700001,0,0.0199999996,0.540000021,0,0,1,0.000212132014,0.000212132014
0.423721,1783678204.462813,6,-2.74702263,-2.89050055,-2.82778549,0,0.0508668087,0.00500681577,0.994102895,-0.013048619,0.0337280482,-0.0235656239,429.367035,991.845276,0,0.0780000016,0.288568705,2.92915058,0.3304407,2.82616901,-0.0418719947,0.102981567,0.996123135,0.97299999,-1.60000002,-1.60000002,-3,-0.200000003,0,0,3.0999999,3,2.5,5.89996598e-05,-8.07521501e-05,1.95121775e-05,3.39985272e-05,3.38625468e-05,0,0,-0.0430538096,-0.136512905,-0.258322865,-0.818422794,-0.258322865,0,-0,-0.819077432,0.00065461616,0,1457,1803,1465,1386,6,-6,21.6700001,0,0.0199999996,0.540000021,0,0,1,0.000424264028,0.000424264028
0.485224,1783678204.524316,7,-2.74701643,-2.88949823,-2.82807732,0,0.0486502573,0.00584553508,0.994361341,0.0377029255,-0.13520962,-0.0569019318,429.417023,991.85321,0,0.613000035,0.336819857,2.80097938,0.330258161,2.82767773,0.00656169653,-0.0266983509,0.995984197,1.00800002,-1.60000002,-1.60000002,-3,-0.200000003,0,0,3.0999999,3,2.5,0,0,0,6.78822471e-05,3.39411272e-05,0,0,-0.0430538096,-0.136512905,-0.258322865,-0.818422794,-0.258322865,0,-0,-0.819077432,0.00065461616,0,1457,1803,1465,1386,6,-6,21.6700001,0,0.0199999996,0.540000021,0,0,1,0.000848528114,0.000424264115
0.547775,1783678204.586867,8,-2.74911022,-2.89201784,-2.82814789,0,0.0482347272,0.00531570055,0.994404554,-0.0155374641,0.0523704998,0.0291390698,429.46701,991.85321,0,0.203000009,0.30627808,2.77698088,0.328279227,2.82524467,-0.0220011473,-0.0482637882,0.995984197,1.00800002,-1.60000002,-1.60000002,-3,-0.200000003,0,0,3.0999999,3,2.5,0,0,0,1.697056e-05,1.697056e-05,0,0,-0.0430538096,-0.136512905,-0.258322865,-0.818422794,-0.258322865,0,-0,-0.819077432,0.00065461616,0,1457,1803,1465,1386,6,-6,21.6700001,0,0.0199999996,0.540000021,0,0,1,0.000212132014,0.000212132014
0.607795,1783678204.646886,9,-2.74982882,-2.88597608,-2.82814217,0,0.0507835187,0.00544638559,0.994252384,0.040814206,-0.0497251153,0.0285027474,429.517029,991.85321,0,0.800000012,0.313855708,2.92391706,0.327527285,2.83071804,-0.013671577,0.0931990147,0.995980263,1.00899994,-1.60000002,-1.60000002,-3,-0.200000003,0,0,3.0999999,3,2.5,0,0,0,3.39411199e-05,3.39411199e-05,0,0,-0.0430538096,-0.136512905,-0.258322865,-0.818422794,-0.258322865,0,-0,-0.819077432,0.00065461616,0,1457,1803,1465,1386,6,-6,21.6700001,0,0.0199999996,0.540000021,0,0,1,0.000424264028,0.000424264028
0.639310,1783678204.678402,10,-2.74714756,-2.87531018,-2.82849121,0,0.0498490334,0.00623380113,0.994509935,-0.0178814735,0.0297790803,0.00629755994,429.567017,991.85321,0,0.391000032,0.359137505,2.86944842,0.330036491,2.84164667,0.0291010141,0.0278017521,0.995980263,1.00899994,-1.60000002,-1.60000002,-3,-0.200000003,0,0,3.0999999,3,2.5,0,0,0,0,0,0,0,-0.0430538096,-0.136512905,-0.258322865,-0.818422794,-0.258322865,0,-0,-0.819077432,0.00065461616,0,1457,1803,1465,1386,6,-6,21.6700001,0,0.0199999996,0.540000021,0,0,1,-0,-0
