pc_elapsed_s,pc_unix_s,frame_index,roll_deg,pitch_deg,yaw_deg,range_height_m,fc_time_s,vel_est_x_m_s,vel_est_y_m_s,coax_roll_rate_kd,coax_pitch_rate_kd,coax_yaw_angle_kp,coax_yaw_rate_kd,coax_vel_x_kd,coax_vel_y_kd,coax_accel_xy_limit_m_s2,coax_accel_z_limit_m_s2,vel_loop_x_kp,vel_loop_y_kp,vel_loop_output_limit_m_s2,vel_loop_x_ki,vel_loop_y_ki,vel_loop_i_limit_m_s2,vel_loop_x_kd,vel_loop_y_kd,vel_loop_enable
0.109128,1783742037.174786,1,-0.00492417812,-0.116994858,1.13700032,0.0499999933,578.062012,-1.40215343e-05,4.25021972e-05,-0.600000024,-0.600000024,-3,-0.200000003,0,0,3,2.5,6,-6,21.6700001,0,0.0199999996,0.540000021,0,0,1
0.140093,1783742037.205751,2,-0.00382339954,-0.118028164,1.1370703,0.0499999933,578.087036,-1.41368546e-05,1.41795281e-05,-0.600000024,-0.600000024,-3,-0.200000003,0,0,3,2.5,6,-6,21.6700001,0,0.0199999996,0.540000021,0,0,1
0.171248,1783742037.236907,3,-0.00412851572,-0.118020058,1.13673425,0.0499999933,578.112,5.65685368e-05,0,-0.600000024,-0.600000024,-3,-0.200000003,0,0,3,2.5,6,-6,21.6700001,0,0.0199999996,0.540000021,0,0,1
0.202240,1783742037.267898,4,-0.00354063511,-0.122042179,1.13655591,0.0499999933,578.137024,2.8528586e-05,-2.82279634e-05,-0.600000024,-0.600000024,-3,-0.200000003,0,0,3,2.5,6,-6,21.6700001,0,0.0199999996,0.540000021,0,0,1
0.232784,1783742037.298442,5,-0.00263947248,-0.120596409,1.13661718,0.0499999933,578.162048,4.24264035e-05,1.41421342e-05,-0.600000024,-0.600000024,-3,-0.200000003,0,0,3,2.5,6,-6,21.6700001,0,0.0199999996,0.540000021,0,0,1
0.264349,1783742037.330007,6,-0.00206208229,-0.123408794,1.13630998,0.0499999933,578.187012,-1.41421342e-05,-1.41421342e-05,-0.600000024,-0.600000024,-3,-0.200000003,0,0,3,2.5,6,-6,21.6700001,0,0.0199999996,0.540000021,0,0,1
0.264349,1783742037.330007,7,-0.000427663326,-0.125249863,1.13663304,0.0499999933,578.212036,1.41421342e-05,-1.41421342e-05,-0.600000024,-0.600000024,-3,-0.200000003,0,0,3,2.5,6,-6,21.6700001,0,0.0199999996,0.540000021,0,0,1
0.295354,1783742037.361012,8,0.00105369091,-0.123597622,1.13683581,0.0499999933,578.237,2.84304515e-05,-2.82337769e-05,-0.600000024,-0.600000024,-3,-0.200000003,0,0,3,2.5,6,-6,21.6700001,0,0.0199999996,0.540000021,0,0,1
0.325791,1783742037.391449,9,0.000732243061,-0.11859417,1.13671494,0.0499999933,578.262024,1.41421342e-05,-1.41421342e-05,-0.600000024,-0.600000024,-3,-0.200000003,0,0,3,2.5,6,-6,21.6700001,0,0.0199999996,0.540000021,0,0,1
0.357097,1783742037.422755,10,0.0011472106,-0.112830639,1.13655603,0.0499999933,578.287048,4.22771518e-05,1.41036244e-05,-0.600000024,-0.600000024,-3,-0.200000003,0,0,3,2.5,6,-6,21.6700001,0,0.0199999996,0.540000021,0,0,1
0.357097,1783742037.422755,11,0.000368177891,-0.11279726,1.1366384,0.0499999933,578.312012,2.83856771e-05,2.81265729e-05,-0.600000024,-0.600000024,-3,-0.200000003,0,0,3,2.5,6,-6,21.6700001,0,0.0199999996,0.540000021,0,0,1
0.387817,1783742037.453475,12,0.0011497736,-0.108498096,1.1364001,0.0499999933,578.337036,-8.87812064e-08,-2.82338096e-05,-0.600000024,-0.600000024,-3,-0.200000003,0,0,3,2.5,6,-6,21.6700001,0,0.0199999996,0.540000021,0,0,1
0.418823,1783742037.484481,13,5.60879707e-05,-0.108527184,1.1364485,0.0499999933,578.362,-1.41421342e-05,1.41421342e-05,-0.600000024,-0.600000024,-3,-0.200000003,0,0,3,2.5,6,-6,21.6700001,0,0.0199999996,0.540000021,0,0,1
0.449879,1783742037.515537,14,-0.00216901302,-0.115551949,1.13665378,0.0499999933,578.387024,-8.48872005e-05,-8.49291828e-05,-0.600000024,-0.600000024,-3,-0.200000003,0,0,3,2.5,6,-6,21.6700001,0,0.0199999996,0.540000021,0,0,1
0.480679,1783742037.546337,15,-0.000696659088,-0.121478081,1.13691902,0.0499999933,578.412048,2.82842684e-05,2.82842684e-05,-0.600000024,-0.600000024,-3,-0.200000003,0,0,3,2.5,6,-6,21.6700001,0,0.0199999996,0.540000021,0,0,1
